capture_id,captured_at,source,raw_text,status,suggested_destination,normalized_text,error
voice-40,2026-02-27T19:56:57Z,voice,The final notes from the workout I ended up doing 110 pounds for six reps for the last set of the squads 110 pounds for six reps for the last set of the barbell rose and then 686 reps for the 165 pound flat bench press note that down,accepted,workouts,,
voice-39,2026-02-27T19:28:12Z,voice,Finalizing notes from work out,accepted,workouts,,
voice-37,2026-02-27T19:03:33Z,voice,The last shot evil 610 pounds for 600 no 100 pounds,accepted,workouts,Garbled mid-workout voice note — superseded by final workout data in issues #39/#40,
voice-38,2026-02-27T19:27:43Z,voice,Correction to previous message from from my last 10 pounds for fun squad,accepted,workouts,Garbled correction to issue #37 — superseded by final workout data in issues #39/#40,
voice-35,2026-02-27T19:03:33Z,voice,,discarded,none,Empty voice note — no content captured,
voice-36,2026-02-27T19:03:33Z,voice,Workout so far completed one set of front squat 90 pounds one set of barbell back row 90 pounds one set of flat bench press 165 pounds eight reps for the bench press and 10 reps for the squats and barbell back rows second set squats 10 reps 90 pounds second set bench press eight reps 165 pounds,accepted,workouts,Mid-workout update — squat 90×10×2 bench 165×8×2 row 90×10×1 — data captured in final log (#39/#40),
voice-42,2026-02-27T00:00:00Z,voice,Are you getting this message test,archived,none,Test message — no actionable content,
voice-43,2026-03-01T00:00:00Z,voice,What's my workout today,discarded,question,,
voice-44,2026-03-01T00:00:00.000Z,voice,What's my workout today,discarded,question,,
voice-45,2026-03-01T00:00:00.000Z,voice,Can we remove pull-ups from the actual gym days since we're already doing them in the Home reps I'm not sure if you can do it now but ultimately I want to remove pull-ups for any gym exercises and replace them with either lat pulldown or other back,discarded,todo,,
voice-46,2026-03-01T00:00:00.000Z,voice,Next step is to make the actual voice notes trigger Claude to investigate and be able to actually make incremental improvements to the repository from the voice notes that I'm entering in,discarded,todos,,
voice-47,2026-03-01T00:00:00.000Z,voice,Are you,discarded,none,Accidental/incomplete voice capture — no actionable content,
voice-48,2026-03-01T00:00:00.000Z,voice,Walk for stranded warm no not walk around stranded first LOG log first round 60 pound RDL 10 reps 21 pound hole 121 pound one35 pound bench press seven reps,discarded,workout,,
voice-49,2026-03-01T00:00:00.000Z,voice,Next round of sex sex for work idea,discarded,todos,Garbled voice note — unclear intent. Possibly about sets or work ideas,
voice-51,2026-03-01T19:16:10Z,voice,Recording next round of sets for workout RDL set one110 £ 10 reps bench press 185 pounds for five reps lap pull down 143 pounds for nine reps,discarded,workouts,RDL 110×10 / Bench 185×5 / Lat pulldown 143×9 — Day C working sets,
voice-52,2026-03-01T19:16:10Z,voice,Create shortcut except without instead of dictation type,discarded,todos,Garbled voice note — likely about creating iOS Shortcut with text input instead of dictation,
voice-50,2026-03-01T19:16:10Z,voice,,discarded,none,Empty voice note — no content captured,
voice-53,2026-03-01T19:25:36Z,voice,,discarded,none,Empty voice note — no content captured,
voice-55,2026-03-01T19:25:40Z,voice,Logging for set two of all three exercises RDL 110 12 reps bench press 175 for five reps lat pull down 148 for nine reps,discarded,workouts,,
voice-56,2026-03-01T19:25:40Z,voice,When I give ideas that end up in my inbox I want to be able to potentially have Claude pre-scan the entire repo to understand how this would incrementally boost a repo in reference to our core pillars and foundational incremental improvement of three layers and then by the time I even get to my desk when I click the idea card or whatever I would like to be able to see Claude investigation result in a concise manner where I can then just simply hit approve and Claude will make that change put the PR out and the repository will be incrementally improved rapidly simply from almost a voice note and an approval,discarded,todos,,
voice-54,2026-03-01T19:25:40Z,voice,,discarded,none,Empty voice note — no content captured,
voice-57,2026-03-01T19:37:54Z,voice,,discarded,none,Empty voice note — no content captured,
voice-58,2026-03-01T20:00:00Z,voice,Log final set 135 pounds RDL for 11 reps 145 pounds lat pulldown for 8 reps and 175 pounds bench press 5 reps finished with 1x10 leg raises and 5 minutes stair stepper cardio,discarded,workouts,,
voice-59,2026-03-01T00:00:00Z,voice,testing 123,discarded,none,Test message — no actionable content,
voice-61,2026-03-02T00:00:00Z,voice,Been finding myself giving an excuse because of the fact that I'm not smoking weed and like I've been at least good on that one habit but I've been letting myself slip when it comes to eating clean and stuff like right now I'm heading to Chick-fil-A for their breakfast bowl it's not the most unhealthy thing but it's also not healthy let's try to understand in the future like why am I doing this what am I feeling right now if I had to describe what I'm feeling dopamine I'm feeling some sort of hunger but like I don't know I don't need the Chick-fil-A but I'm going and I can't control it and it's something that I need to consider today I'm gonna get it but maybe we can start thinking about why am I making these actions what's the trigger what's the you know neuroscience,discarded,signals+reflection,,
voice-62,2026-03-02T00:00:00Z,voice,Previous voice note about Chick-fil-A sparked thought — want to add meditation aspect to the app. Done a lot of meditation work in the past. Developed a previous app called Steel Point that does some of this.,archived,idea,Add meditation stats card to Hub — surface meditation streak and recent session notes from existing meditate signals to give meditation a dedicated presence beyond the habit grid,https://github.com/aashrayap/progress-tracker/pull/63
voice-64,2026-03-03T12:13:22Z,voice,What's my workout today,discarded,question,Answered: Day D (front squat / incline bench / cable row),
voice-65,2026-03-03T12:15:16Z,voice,Ensure tomorrow leave computer open during morning workout,discarded,reminder,Note to self — leave computer open for voice pipeline during AM gym,
voice-66,2026-03-03T12:31:57Z,voice,Squat incline bench set 1: squat 90×10 incline 155×8. 6AM workout - might need 5 or 5:30 AM,discarded,workouts,Day D set 1: front_squat 90×10 / incline_bench 155×8,
voice-67,2026-03-03T12:37:15Z,voice,Set 2 squat 90×10 incline bench 165×5,discarded,workouts,Day D set 2: front_squat 90×10 / incline_bench 165×5,
voice-68,2026-03-03T12:42:55Z,voice,Talk through habit reward fitness and eating goal neuroscience with Claude today,discarded,todos,Added todo #29,
voice-69,2026-03-03T12:46:57Z,voice,Set 3 squat 10 incline bench 155×7,discarded,workouts,Day D set 3: front_squat 90×10 / incline_bench 155×7,
voice-70,2026-03-03T12:48:29Z,voice,Need to try and fit 1 bicep exercise in a week,discarded,todos,Added todo #30,
voice-71,2026-03-03T12:49:54Z,voice,Transcribe As A Man Thinketh add a quotes page to app,discarded,todos,Added todo #31,
voice-72,2026-03-03T12:53:21Z,voice,Last exercise cable row 121 lb 10 10 6,discarded,workouts,Day D: cable_row 121×10 / 121×10 / 121×6,
voice-74,2026-03-05T18:40:00Z,voice,Last night as I believe I already logged this morning I slept late I just couldn't fall asleep so I gave myself the sleep check box last night but this morning I was planning to go to gym at 11 I was feeling quite sore ended up taking it off ended up having not the most productive day but not a terrible day either so far of eaten clean been clean I did go and play poker at 3 PM I want a few hundred bucks and it's 640 I'm on my way home I'll be home at around seven no weed but no exercise didn't meditate but in general because of the fact that I'm in withdrawal and the kind of the main things I'm trying to stay away from our weed and and possibly leak and just eating unhealthy and all of that it's still a generally decent day I'm gonna go home and do some deep work and then probably just maybe eat a little bit and then go to bed reading a book do my nighttime routine with some tea night nighttime routine yeah,discarded,signals,,
voice-76,2026-03-05T19:00:00Z,voice,What's my workout today,discarded,question,Next workout is Day E: Lunges OHP Pull-Up,
voice-80,2026-03-05T16:14:17Z,voice,Call upset two for 540 pounds fill in that one is 40 pounds not 540 140,discarded,workouts,Correction: pull-up weight is 140 lbs (not 540) — already consolidated in issue #81,
voice-79,2026-03-05T16:12:05Z,voice,Set to same weight overhead press for 10 lunges for 10,discarded,workouts,Day E set 2: OHP 95×10 / lunges 25×10 — data captured in consolidated issue #81,
voice-78,2026-03-05T16:10:00Z,voice,Log out set one overhead press 95 pounds for eight dumbbell lunges 25 pound dumbbell each for 10 pull-ups will fill in the weight later for five that was that one for everything,discarded,workouts,Day E set 1: OHP 95×8 / lunges 25×10 / pullup ?×5 — data captured in consolidated issue #81,
voice-81,2026-03-05T16:15:57Z,voice,All the public sets today were 140 pound assisted pull-ups all sets I did 55 reps reps not 55 five finishing with five minutes of stairstepper,discarded,workouts,"Day E workout final: OHP 95×8/95×10, lunges 25×10/25×10, pullup 140×5/140×5, 5min stairstepper — consolidates issues #78-81",
voice-83,2026-03-06T00:00:00Z,voice,I want the vision tab to really align with the direction I'm going I want to know for each area of my life that I'm going in the right direction and the app is a facilitator or tool that I'm leveraging to help me even further go in that direction by surfacing insights and information that is critical for me to book Allan remind myself let's try to exercise what aspects of vision are things that I need to be seeing weekly what are the actual vision pieces and then what are the systems in place to enforce that vision I know we are already doing a habit tracker and that's kind of a system in place but what what are we missing,discarded,idea,"Redesign Vision tab: make data-driven with per-domain direction signals from CSV data, show which systems (habits) enforce each domain vision, surface what is missing beyond the habit tracker",https://github.com/aashrayap/progress-tracker/pull/84
voice-85,2026-03-06T00:00:00Z,voice,I can put my poker hand,discarded,todos,Garbled voice note — possibly about poker strategy or logging poker. Clarify intent.,
voice-97,2026-03-07T19:17:11Z,voice_issue_97,(empty voice note),discarded,todo,,
voice-96,2026-03-07T19:16:51Z,voice_issue,(empty voice note — no content captured),discarded,todo,Clarify: empty voice capture #96,
issue-95,2026-03-07T18:47:19Z,voice_note,,discarded,todo,Clarify: empty voice note (issue #95),
issue-94,2026-03-07T18:47:19Z,voice_github_issue,,discarded,unresolved,Clarify: empty voice note (issue #94),
issue-90,2026-03-07T18:40:28Z,voice_ios,empty voice note — no content detected,discarded,todo,Clarify: empty voice note issue #90,
issue-87,2026-03-07T00:00:00.000Z,voice_note,,discarded,todo,Clarify: empty voice note (issue #87),
issue-86,2026-03-07T18:40:19Z,voice_issue,Scan As A Man Thinketh transcript — add thoughts crystallize into habits section to resources + todo,archived,todos,"As A Man Thinketh: scan transcript, add crystallize section to resources, add todo for longer-term placement",
issue-88,2026-03-07T18:40:49Z,voice_issue,Check how far previous log PR went — if it read local transcript,archived,question,Question about previous PR progress — stale,
issue-89,2026-03-07T18:44:43Z,voice_issue,If clean thought make good habits then how to purify the mind to purify habits?,archived,reflection,Reflection on As A Man Thinketh — purifying thoughts to purify habits,
issue-91,2026-03-07T18:47:57Z,voice_issue,As A Man Thinketh purpose/weakness quote — good for vision and purpose section,archived,idea,As A Man Thinketh: purpose quote for vision section,
issue-92,2026-03-07T18:56:28Z,voice_issue,"Cleans 2x2 135lb, 1x1 155lb",archived,workouts,Workout data — logged to workouts.csv,
issue-93,2026-03-07T19:02:51Z,voice_issue,Give me entire workout this week from today forwards,archived,question,Workout schedule question — stale,
issue-98,2026-03-07T19:18:42Z,voice_issue,"Machine bicep 55x8x2, lunges 30x8x2, pullups 160x8x2",archived,workouts,Workout data — logged to workouts.csv,
issue-73,2026-03-03T18:08:10Z,voice_issue,Add lunges workout,archived,todos,Already in rotation — done,
issue-75,2026-03-05T03:13:40Z,voice_issue,Whats my next workout,archived,question,Question answered — stale,
issue-77,2026-03-05T16:02:28Z,voice_issue,Whats my workout today,archived,question,Question answered — stale,
issue-82,2026-03-05T16:27:58Z,voice_issue,Started lvl 6 stairstepper instead of 5 for five min,archived,workouts,Stairstepper note — logged,
issue-99,2026-03-08T00:00:00Z,voice_issue,"Too much optional too much consumption need to document my consumption channels and ensure that I'm spending my time valuably and in a way that doesn't counteract my goal of making a calm mind this morning I don't know if it's a dope with me or whatever it is but I feel very overwhelmed and down",logged,"reflections,todos",,
